2025-12-13 10:21:29 | 11 | Heating Mode
2025-12-13 11:19:51 | 11 | Heating Mode
2025-12-13 11:20:09 | 31 | Cooling Mode
2025-12-14 19:50:22 | 34 | Cooling Mode
2025-12-14 19:50:27 | 34 | Cooling Mode
2025-12-14 19:50:32 | 34 | Cooling Mode
2025-12-14 20:03:07 | 11 | Heating Mode
2025-12-14 20:03:12 | 32 | Cooling Mode
2025-12-14 20:03:17 | 24 | Off Mode
2025-12-14 20:03:22 | 25 | Heating Mode
2025-12-14 20:03:27 | 20 | Cooling Mode
2025-12-14 20:03:32 | 17 | Cooling Mode
2025-12-14 20:03:37 | 25 | Cooling Mode
2025-12-14 20:03:42 | 14 | Off Mode
2025-12-14 20:03:47 | 22 | Cooling Mode
2025-12-14 20:03:52 | 15 | Off Mode
2025-12-14 20:03:57 | 21 | Cooling Mode
2025-12-14 20:04:02 | 35 | Cooling Mode
2025-12-14 20:04:07 | 23 | Cooling Mode
2025-12-14 20:04:12 | 34 | Off Mode
2025-12-14 20:04:17 | 35 | Cooling Mode
2025-12-14 20:04:22 | 24 | Heating Mode
2025-12-14 20:20:43 | 11 | Heating Mode
2025-12-14 20:20:48 | 12 | Heating Mode
2025-12-14 20:20:53 | 10 | Heating Mode
2025-12-14 20:20:58 | 12 | Heating Mode
2025-12-14 20:21:03 | 11 | Heating Mode
2025-12-14 20:21:08 | 34 | Cooling Mode
2025-12-14 20:21:13 | 25 | Cooling Mode
2025-12-14 20:32:35 | 32 | Cooling Mode
2025-12-14 20:32:40 | 28 | Cooling Mode
2025-12-14 20:32:45 | 23 | Cooling Mode
2025-12-14 20:32:50 | 34 | Cooling Mode
2025-12-14 20:32:55 | 12 | Heating Mode
2025-12-14 20:43:33 | 20 | Off Mode
2025-12-14 20:43:38 | 24 | Cooling Mode
2025-12-14 20:43:43 | 19 | Off Mode
2025-12-14 20:43:48 | 15 | Heating Mode
2025-12-14 20:43:53 | 31 | Cooling Mode
2025-12-14 20:43:58 | 22 | Off Mode
2025-12-14 20:44:03 | 11 | Heating Mode
2025-12-14 20:44:08 | 18 | Off Mode
2025-12-14 20:44:13 | 13 | Heating Mode
2025-12-14 20:44:18 | 18 | Off Mode
2025-12-14 20:44:23 | 21 | Off Mode
2025-12-14 20:44:28 | 28 | Cooling Mode
2025-12-14 20:44:33 | 23 | Cooling Mode
2025-12-14 20:44:38 | 25 | Cooling Mode
2025-12-14 20:44:43 | 23 | Cooling Mode
2025-12-14 20:44:48 | 19 | Off Mode
2025-12-14 20:44:53 | 20 | Off Mode
2025-12-14 20:44:59 | 19 | Off Mode
2025-12-14 20:45:04 | 35 | Cooling Mode
2025-12-14 20:45:09 | 33 | Cooling Mode
2025-12-14 20:45:14 | 11 | Heating Mode
2025-12-14 20:45:19 | 34 | Cooling Mode
2025-12-14 20:45:24 | 32 | Cooling Mode
2025-12-14 20:45:29 | 31 | Cooling Mode
2025-12-14 20:45:34 | 11 | Heating Mode
2025-12-14 20:45:39 | 14 | Heating Mode
2025-12-14 20:45:44 | 27 | Cooling Mode
2025-12-14 20:45:49 | 22 | Off Mode
2025-12-14 20:45:54 | 21 | Off Mode
2025-12-14 20:45:59 | 29 | Cooling Mode
2025-12-14 20:46:04 | 32 | Cooling Mode
2025-12-14 20:46:09 | 28 | Cooling Mode
2025-12-14 20:46:14 | 21 | Off Mode
2025-12-14 20:46:19 | 16 | Heating Mode
2025-12-14 20:46:24 | 16 | Heating Mode
2025-12-14 20:46:29 | 12 | Heating Mode
